Text,Sentiment,User
"“The Senate acquitted President Trump of both charges fabricated by Congressional Democrats, led by Speaker Pelosi… https://t.co/ZR2cKBUI2w",0,realDonaldTrump
“This President has done more for African Americans in this Country than any President since Lincoln.” @LouDobbs,0,realDonaldTrump
RT @Scavino45: https://t.co/8OARJbOTfs,0,realDonaldTrump
RT @DanScavino: Directions: Select all squares with a President. #AcquittedForever https://t.co/1pBUHS12Fm,0,realDonaldTrump
RT @DanScavino: https://t.co/AKlI6lfPTo,0,realDonaldTrump
RT @DanScavino: #AcquittedForever #KAG2020🇺🇸 https://t.co/1tmnaRqll7,0,realDonaldTrump
https://t.co/QhTWvcY4Ke,0,realDonaldTrump
"Welcome back to Earth, @Astro_Christina, and congratulations on breaking the female record for the longest stay in… https://t.co/qffpKuFWW0",0,realDonaldTrump
"Nevada, I hear you on Yucca Mountain and my Administration will RESPECT you! Congress and previous Administrations… https://t.co/cYXHPknEwV",0,realDonaldTrump
So true! https://t.co/Ds9MSUlWXA,0,realDonaldTrump
https://t.co/KwC2zrtJxQ,0,realDonaldTrump
Had failed presidential candidate @MittRomney devoted the same energy and anger to defeating a faltering Barack Oba… https://t.co/6SGtfGHgfo,0,realDonaldTrump
"@nytimes “The Votes Were A Resounding Victory For Mr. Trump.” True, but the Impeachment Hoax was just a continuatio… https://t.co/PZKsmQNCzW",0,realDonaldTrump
RT @HowieCarrShow: James Freeman's question https://t.co/2SXqS3Hqaa via @powerlineUS,0,realDonaldTrump
"RT @nypost: Nancy Pelosi 'pre-ripped' pages of Trump's SOTU speech, video shows https://t.co/e4bItGSTPt https://t.co/Ef8YeIVGCx",0,realDonaldTrump
https://t.co/FIg1SYtJcy,0,realDonaldTrump
I will be making a public statement tomorrow at 12:00pm from the @WhiteHouse to discuss our Country’s VICTORY on the Impeachment Hoax!,0,realDonaldTrump
https://t.co/JDS4zUXXJG,0,realDonaldTrump
"RT @SenatorDole: .@POTUS really hit a home run last night.  In my 36+ years serving in Congress, I heard quite a few #SOTU  addresses.  Thi…",0,realDonaldTrump
https://t.co/lj8RUqcz37,0,realDonaldTrump
"“The Democrats want to run a Country, and they can’t run a Caucus.” Brad Blakeman @FoxNews  Iowa is a complete disa… https://t.co/HjYt638Ymw",0,realDonaldTrump
"RT @WhiteHouse: Speaker Pelosi just ripped up:

One of our last surviving Tuskegee Airmen.

The survival of a child born at 21 weeks.

The…",0,realDonaldTrump
"Thank you Jonathan, and great job! https://t.co/GAZJ5ErJpF",0,realDonaldTrump
"RT @KatiePavlich: Very excited to announce the newest addition to @townhallcom, Townhall 🇺🇸 VIP! Find out more and use promo code “Katie” f…",0,realDonaldTrump
"RT @jaegerbombsaway: Nancy’s legacy is ripping up a document she is mandated to preserve. She’s a complete failure 

#PelosiTantrum",0,realDonaldTrump
"RT @PIANORAMA: Uncouth is too polite.
#PelosiTantrum",0,realDonaldTrump
RT @Mikkelsen_YNWA: @GrahamLedger It's incredible the US has a person like her in that position. What she did at the end was incredible! I…,0,realDonaldTrump
RT @heelerhoney: Perhaps Nancy’s little tantrum of tearing up the #SOTU speech was a slick maneuver to get people to talk about her instead…,0,realDonaldTrump
RT @LionelMedia: Don’t let #NancyPelosi dilute or take from the @realDonaldTrump’s brilliant #StateOfTheUnion.,0,realDonaldTrump
RT @LionelMedia: Retweet if you stand with ⁦@realDonaldTrump⁩! https://t.co/3ju6dzvO2S,0,realDonaldTrump
RT @CarmineSabia: It is hilarious to see Speaker Pelosi so #Classless and #Broken. They know 2020 is gone. Who is their hero Pete Buttigieg…,0,realDonaldTrump
RT @kurt_mcgert: Way to not only represent yourself and your party. She is an absolute disgrace and she is everything that is wrong with ou…,0,realDonaldTrump
"RT @DrewCHudson: Nancy Pelosi ripping up the State of the Union speech...I assume she planned to throw the trash on the sidewalk, given the…",0,realDonaldTrump
"RT @AuroraLightzz: This is pure gold, because she’s the one parading how immature and childish the president is but then look how she acted…",0,realDonaldTrump
RT @HiredGun37: Today - The Senate gets to pull a #PelosiTantrum and do to the Impeachment Articles what she did to the SOTU. Karma is a bi…,0,realDonaldTrump
RT @Real_Theology: This is what building bridges to the American people looks like.. The #PelosiTantrum is a tragic image of how divided ou…,0,realDonaldTrump
RT @JonMart93888215: Where those the Articles of Impeachment Nancy was ripping up #PelosiTantrum,0,realDonaldTrump
"RT @SauerBread: @SpeakerPelosi #PelosiTantrum
A speech that
•Honored so many Americans
•Celebrated a strong US economy
•Seeks to continue l…",0,realDonaldTrump
RT @StarParker: Who liberals hate. #PelosiNeedsToGo #pelositantrum https://t.co/W0tMjgOc1V,0,realDonaldTrump
RT @stillgray: #PelosiTantrum is trending. You hate to see it.,0,realDonaldTrump
RT @co_firing_line: The only thing Nancy Pelosi proved is that liberalism is an ideology of insane hate and rage.  She should be censured a…,0,realDonaldTrump
"RT @Soll_DeWitt: History won't be kind for Nancy Pelosi: she will be remembered as the Speaker who initiated a malicious impeachment, who's…",0,realDonaldTrump
"RT @TreasuryTutor: Dear USA
Our political system here (UK) isn't perfect, but our Speaker is supposed to be impartial and neutral - and see…",0,realDonaldTrump
"RT @chicksonright: It's perfect that  #PelosiTantrum is trending.  What a humiliating night for her all the way around.  

Nance - you migh…",0,realDonaldTrump
"RT @DrErinKateStair: That was weak, Nancy. I wish she held her cool. Plays into every female stereotype. 
 #PelosiTantrum",0,realDonaldTrump
RT @NikkiHaley: The accomplishments speak for themselves. Congratulations @realDonaldTrump. ❤️🇺🇸 #SOTU #Results,0,realDonaldTrump
RT @NikkiHaley: Disappointed to see @SpeakerPelosi rip up the speech that mentioned lives we’ve lost and heroes we celebrated at the SOTU.…,0,realDonaldTrump
It was a great and triumphant evening for our Country. Thank you for all of the nice remarks and wonderful reviews… https://t.co/8vGSi8U67F,0,realDonaldTrump
#SOTU2020 https://t.co/W03gQLkdpo,0,realDonaldTrump
https://t.co/QeFYDg9jZ0,0,realDonaldTrump
"My Approval Rating in the Republican Party = 95%, a record! Big Iowa win. Approval Rating overall = 53%, a new high… https://t.co/YEXBEfdjIL",0,realDonaldTrump
"Market up big today on very good economic news. JOBS, JOBS, JOBS!",0,realDonaldTrump
RT @CLewandowski_: It’s an honor to caucus for ⁦@realDonaldTrump⁩ at a packed house at the Panorama Elementary School in Iowa!  On to Victo…,0,realDonaldTrump
"RT @TeamTrump: The Republican Party Has Never Been More United!

#IowaCaucuses https://t.co/scbXdkvOag",0,realDonaldTrump
"RT @GOPChairwoman: Congratulations to the winner of the #IACaucus: @realDonaldTrump. 

He won Iowa big in 2016, and he's going to carry it…",0,realDonaldTrump
"RT @LaraLeaTrump: No matter who wins tonight on the democrat side, we know that America feels the incredible results of the President’s pol…",0,realDonaldTrump
RT @EricTrump: What an unbelievable night in #Iowa! The turnout and support for @realDonaldTrump was off the charts! #MAGA #NorwalkIA 🇺🇸🇺🇸…,0,realDonaldTrump
"RT @TeamTrump: Meanwhile...

President @realDonaldTrump CRUSHED all incumbent turnout records in Iowa! 

#IACaucus",0,realDonaldTrump
RT @GOPChairwoman: Congratulations to @realDonaldTrump for officially breaking the turnout record for an incumbent president in the #IACauc…,0,realDonaldTrump
RT @piersmorgan: 🤣,0,realDonaldTrump
"RT @GOPChairwoman: While the #IACaucus outcome is still uncertain for Democrats, the Republican Party is more unified than ever behind @rea…",0,realDonaldTrump
RT @piersmorgan: He's got a point...how many more self-inflicted 2020 election gifts are  Democrats going to hand their opponent?  #Iowa #I…,0,realDonaldTrump
"RT @EricTrump: My father always says he has 95% Republican support... Last night he was proven wrong — in fact, @realDonaldTrump has 97.1%…",0,realDonaldTrump
"The Democrat Party in Iowa really messed up, but the Republican Party did not. I had the largest re-election vote i… https://t.co/4KWXwXhQ3v",0,realDonaldTrump
"When will the Democrats start blaming RUSSIA, RUSSIA, RUSSIA, instead of their own incompetence for the voting disa… https://t.co/6Lxb1hnROi",0,realDonaldTrump
"It is not the fault of Iowa, it is the Do Nothing Democrats fault. As long as I am President, Iowa will stay where… https://t.co/3HkBz2pxDt",0,realDonaldTrump
RT @awzurcher: Here’s your Iowa democracy in action - a coin toss to determine who gets the last delegate out of this #IowaCaucus precinct…,0,realDonaldTrump
"RT @guypbenson: “No, but seriously, let us run your healthcare,” they said.",0,realDonaldTrump
"RT @NateSilver538: At this point, it's been 3.6 hours since the start of the caucuses and 1.9% of precincts have reported results, which ex…",0,realDonaldTrump
"RT @BretBaier: The Iowa Democratic Party said it has found ""inconsistencies"" in the reporting of the caucus results, but says there was no…",0,realDonaldTrump
RT @DailyMail: Supporters wait to find out what is happening as the Democratic results are plunged into chaos #IowaCaucuses https://t.co/oC…,0,realDonaldTrump
"RT @agearan: Trump 2020 campaign manager Brad Parscale:  
“Democrats are stewing in a caucus mess of their own creation with the sloppiest…",0,realDonaldTrump
RT @HawleyMO: Can’t wait to see the Chiefs at the White House! #ChiefsKingdom,0,realDonaldTrump
RT @HawleyMO: https://t.co/B71SbCzgW5,0,realDonaldTrump
RT @HawleyMO: Today I will introduce in the Senate a resolution honoring the Chiefs as SUPER BOWL CHAMPIONS #ChiefsKingdom,0,realDonaldTrump
RT @DanScavino: https://t.co/Wfqk54w0wV,0,realDonaldTrump
"The Democrat Caucus is an unmitigated disaster. Nothing works, just like they ran the Country. Remember the  5 Bill… https://t.co/gfWXBssT0H",0,realDonaldTrump
Big WIN for us in Iowa tonight. Thank you!,0,realDonaldTrump
"RT @SaraCarterDC: #EXCLUSIVE

GOP Investigation:Thousands Of Obama Admin Docs Under Review Regarding Ukraine White House Meetings 

Read my…",0,realDonaldTrump
RT @JohnBoozman: My full statement on my vote to move the impeachment trial to the next stage: https://t.co/7aJcyduDlf,0,realDonaldTrump
"RT @SenMcSallyAZ: .@POTUS continues the effort to end human trafficking. In 2018, I helped pass the SOAR Act in the House to train our heal…",0,realDonaldTrump
"RT @SenMcSallyAZ: Marana’s busy airport can continue to grow safely thanks to funding for an air traffic control tower.
https://t.co/VTcBOQ…",0,realDonaldTrump
"RT @SenMcSallyAZ: .@Raytheon is headquartering its combined missiles defense unit right here in Southern Arizona.
https://t.co/KhQRzdvSXt",0,realDonaldTrump
RT @MarshaBlackburn: Our Founders would be “aghast” if they knew Adam Schiff released private phone records of a journalist and the top Rep…,0,realDonaldTrump
"RT @MarshaBlackburn: Fighting corruption is not an impeachable offense.
 
A policy disagreement is not an impeachable offense.
 
Asserting…",0,realDonaldTrump
"RT @MarshaBlackburn: This weekend, Senators Bennet, Klobuchar, Sanders and Warren were campaigning to replace @realDonaldTrump. Today, they…",0,realDonaldTrump
"RT @MarshaBlackburn: Democrats took our country on a wild goose chase, starting with the Mueller Report, and persisting with a partisan imp…",0,realDonaldTrump
"RT @MarshaBlackburn: The House Impeachment Managers have refused to answer basic questions about coordination with the “whistleblower.”
 
1…",0,realDonaldTrump
RT @MarshaBlackburn: Impeachment* https://t.co/B9CrPQDNkO,0,realDonaldTrump
RT @GOP: “A lot of candidates running for office and a lot of politicians talk about doing something about criminal justice reform but real…,0,realDonaldTrump
"RT @GOP: “By approving both articles, the House of Representatives violated our Constitutional order, illegally abused their power of impea…",0,realDonaldTrump
"RT @RNCLatinos: .@mercedesschlapp:

""Democrats have a socialist agenda while President @realDonaldTrump is focused on results.""

Mercedes S…",0,realDonaldTrump
"RT @GOP: The RNC and @TeamTrump make an HISTORIC fundraising team - just ask Campaign Manager, @parscale ⬇️
 
“The fundraising is out of th…",0,realDonaldTrump
"RT @GOP: RT if you’re STILL not tired of winning!
https://t.co/8LFQFEqXIv",0,realDonaldTrump
RT @GOP: “The President has strong economic numbers… and people are feeling better than they did four years ago.” -@GOPChairwoman https://t…,0,realDonaldTrump
"RT @SenRonJohnson: To use the House managers’ own argument on witnesses:
 
“The American people deserve a fair impeachment.”
“The Constitut…",0,realDonaldTrump
"RT @SenRonJohnson: Unfortunately, the House did not deliver a fair impeachment to the Senate. Instead, contrary to the warnings of @Speaker…",0,realDonaldTrump
RT @SenRonJohnson: House Democrats now demand the Senate do their investigatory work for them. Caving to their demands would have set a dan…,0,realDonaldTrump
"RT @SenJohnBarrasso: Voting is starting in Iowa today. The decision on who the president should be is made by voters, not by the United Sta…",0,realDonaldTrump
"RT @SenTedCruz: Democrats wanted Senate impeachment witnesses because they failed to prove their case.
https://t.co/aanvUqjfwH",0,realDonaldTrump
RT @SenCapito: Just wanted to give an update on where we are with the #impeachment trial this week: https://t.co/NQrTtE50bj,0,realDonaldTrump
"RT @SenateGOP: 13 witnesses.

28,578 documents.

193 video clips.

The Senate carried out our constitutional duty FAIRLY, and @realdonaldtr…",0,realDonaldTrump
Many people do not know what a great guy &amp; fantastic political talent the great Rush Limbaugh is. There is nobody l… https://t.co/VvdCXTbI3R,0,realDonaldTrump
https://t.co/KSVkKL76NM,0,realDonaldTrump
Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schif… https://t.co/rPE6VcffXj,0,realDonaldTrump
KEEP AMERICA GREAT!,0,realDonaldTrump
MAKE AMERICA GREAT AGAIN!,0,realDonaldTrump
"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea… https://t.co/rZTznIgOXe",0,realDonaldTrump
"I hope Republicans &amp; the American people realize that the totally partisan Impeachment Hoax is exacty that, a Hoax.… https://t.co/FzKPQnD0Bi",0,realDonaldTrump
"RT @michaelbeatty3: ""MY VIEWERS WANT ACCOUNTABILITY!!!!""
""WE'LL BE WATCHING SENATOR""
Maria says EXACTLY what Americans are thinking.
THANK…",0,realDonaldTrump
@LindseyGrahamSC https://t.co/lWUKpH1ydc,0,realDonaldTrump
"The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?” @SteveDoocy @foxandfriends",0,realDonaldTrump
"RT @realDonaldTrump: I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! 

Text TR…",0,realDonaldTrump
Hope you liked this! https://t.co/y1j2Wf6J4p,0,realDonaldTrump
RT @GOPChairwoman: The RNC is building the biggest data infrastructure and ground game in the history of politics to re-elect @realDonaldTr…,0,realDonaldTrump
RT @TeamTrump: President @realDonaldTrump: We have a 'Positive Revolution' going on in America! https://t.co/rqLyiu6CpW,0,realDonaldTrump
Great company! https://t.co/Q1NFAHrC3p,0,realDonaldTrump
"RT @DonaldJTrumpJr: My father @realDonaldTrump promised to restore hope in America. 

That includes EVERYONE!!!

Together, let’s KEEP AMERI…",0,realDonaldTrump
Thank you Mike! https://t.co/iNwuaJ3KVP,0,realDonaldTrump
"RT @TeamTrump: Our SECOND #SuperBowl ad just aired!

America is Stronger, Safer, and More Prosperous thanks to President @realDonaldTrump…",0,realDonaldTrump
RT @realDonaldTrump: Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are prou…,0,realDonaldTrump
RT @parscale: The triggered left is doing everything possible to make negative talking points about the @realDonaldTrump #SuperBowl ad abou…,0,realDonaldTrump
RT @DavidAFrench: This was a good ad highlighting a very good thing Trump did. @AliceMarieFree is a good friend and a wonderful person.,0,realDonaldTrump
"RT @AliceMarieFree: Two Super Bowls ago I was sitting in a prison cell.

Today I am a free woman and my story was featured in a Super Bowl…",0,realDonaldTrump
